assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1110472,166083,Carassius auratus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Carassius,auratus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
1116524,166172,Hypophthalmichthys nobilis,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,XENOCYPRIDIDAE,Hypophthalmichthys,nobilis,,,,"(Richardson, 1845)",Data Deficient,,3.1,Decreasing,Global
1118671,166193,Hemiculter leucisculus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,XENOCYPRIDIDAE,Hemiculter,leucisculus,,,,(Basilewsky 1855),Least Concern,,3.1,Unknown,Global
1186806,168488,Triplophysa stolickai,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,NEMACHEILIDAE,Triplophysa,stolickai,,,,"(Steindachner, 1866)",Least Concern,,3.1,Unknown,Global
2764979,15242036,Cyprinion watsoni,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Cyprinion,watsoni,,,,"(Day, 1872)",Least Concern,,3.1,Unknown,Global
3102796,61295,Ctenopharyngodon idella,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,XENOCYPRIDIDAE,Ctenopharyngodon,idella,,,,"(Valenciennes in Cuvier &amp; Valenciennes, 1844)",Least Concern,,3.1,Unknown,Global
3312021,11884,Leuciscus idus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,LEUCISCIDAE,Leuciscus,idus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
4180293,135684,Luciobarbus brachycephalus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Luciobarbus,brachycephalus,,,,"(Kessler, 1872)",Vulnerable,A2cd,3.1,Decreasing,Global
4181037,135687,Luciobarbus capito,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Luciobarbus,capito,,,,"(Güldenstädt, 1773)",Vulnerable,A2cd,3.1,Decreasing,Global
4184980,135696,Abramis brama,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,LEUCISCIDAE,Abramis,brama,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
