assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495630,10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,"(Bonnaterre, 1788)",Near Threatened,A2bd,3.1,Decreasing,Global
500969,11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd,3.1,Decreasing,Global
718871,154708,Diplodus cervinus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Diplodus,cervinus,,,,"Lowe, 1838",Least Concern,,3.1,Decreasing,Global
736690,155828,Gyraulus laevis,ANIMALIA,MOLLUSCA,HYGROPHILA,GASTROPODA,PLANORBIDAE,Gyraulus,laevis,,,,"(Alder, 1838)",Least Concern,,3.1,Decreasing,Global
743082,157244,Eryx jaculus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,BOIDAE,Eryx,jaculus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
743434,157246,Chamaeleo chamaeleon,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Chamaeleo,chamaeleon,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
748060,157279,Ophisops elegans,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Ophisops,elegans,,,,"Ménétries, 1832",Least Concern,,3.1,Stable,Global
748508,157283,Chalcides ocellatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Chalcides,ocellatus,,,,"(Forskål, 1775)",Least Concern,,3.1,Stable,Global
749631,157289,Eumeces schneiderii,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Eumeces,schneiderii,,,,"(Daudin, 1802)",Least Concern,,3.1,Stable,Global
788483,15873,Pagrus pagrus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Pagrus,pagrus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
847639,160692,Hipparchia hansii,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Hipparchia,hansii,,,,"(Austaut, 1879)",Least Concern,,3.1,Stable,Global & Mediterranean
890724,161564,Carcharhinus altimus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,altimus,,,,"(Springer, 1950)",Near Threatened,A2d,3.1,Decreasing,Global
