assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2536089,19879,Samoana abbreviata,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,PARTULIDAE,Samoana,abbreviata,,,,"(Mousson, 1869)",Critically Endangered,B2ab(iii),3.1,Decreasing,Global
2911619,39374,Carcharhinus longimanus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,longimanus,,,,"(Poey, 1861)",Critically Endangered,A2bd,3.1,Decreasing,Global
12881238,8005,Eretmochelys imbricata,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELONIIDAE,Eretmochelys,imbricata,,,,"(Linnaeus, 1766)",Critically Endangered,A2bd,3.1,Decreasing,Global
132612218,22697913,Pseudobulweria becki,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Pseudobulweria,becki,,,,"(Murphy, 1928)",Critically Endangered,"C2a(i,ii)",3.1,Decreasing,Global
152723568,132467692,Puffinus newelli,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Puffinus,newelli,,,,"Henshaw, 1900",Critically Endangered,A3bce+4bce,3.1,Decreasing,Global
1618704,180352,Bohadschia vitiensis,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Bohadschia,vitiensis,,,,"(Semper, 1868)",Data Deficient,,3.1,Decreasing,Global
3466788,132863,Acropora prostrata,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,prostrata,,,,"(Dana, 1846)",Data Deficient,,3.1,Decreasing,Global
3561794,133030,Acropora tutuilensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,tutuilensis,,,,"Hoffmeister, 1925",Data Deficient,,3.1,Decreasing,Global
3566820,133035,Acropora insignis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,insignis,,,,"Nemenzo, 1967",Data Deficient,,3.1,Decreasing,Global
3665366,133273,Acropora inermis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,inermis,,,,"(Brook, 1891)",Data Deficient,,3.1,Decreasing,Global
3763341,133475,Acropora pagoensis,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,pagoensis,,,,"Hoffmeister, 1925",Data Deficient,,3.1,Decreasing,Global
3834725,133626,Acropora schmitti,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,schmitti,,,,"Wells, 1950",Data Deficient,,3.1,Decreasing,Global
3837240,133632,Montipora vaughani,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Montipora,vaughani,,,,"Hoffmeister, 1925",Data Deficient,,3.1,Decreasing,Global
54150383,132862,Acropora cophodactyla,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,cophodactyla,,,,"(Brook, 1892)",Data Deficient,,3.1,Decreasing,Global
54167680,132966,Acropora rambleri,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,rambleri,,,,"(Bassett-Smith, 1890)",Data Deficient,,3.1,Decreasing,Global
54214470,133214,Astreopora eliptica,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Astreopora,eliptica,,,,"Yabe &amp; Sugiyama, 1941",Data Deficient,,3.1,Decreasing,Global
54251763,133393,Acropora teres,ANIMALIA,CNIDARIA,SCLERACTINIA,ANTHOZOA,ACROPORIDAE,Acropora,teres,,,,"(Verrill, 1866)",Data Deficient,,3.1,Decreasing,Global
100465809,7858,Epinephelus lanceolatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Epinephelus,lanceolatus,,,,"(Bloch, 1790)",Data Deficient,,3.1,Decreasing,Global
115422176,65367364,Festucalex wassi,ANIMALIA,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Festucalex,wassi,,,,"Dawson, 1977",Data Deficient,,3.1,Decreasing,Global
1527142,178217,Emoia adspersa,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Emoia,adspersa,,,,"(Steindachner, 1870)",Endangered,"B1ab(ii,iii,v)",3.1,Decreasing,Global
1609567,180275,Holothuria lessoni,ANIMALIA,ECHINODERMATA,ASPIDOCHIROTIDA,HOLOTHUROIDEA,HOLOTHURIIDAE,Holothuria,lessoni,,,,"Massin et al., 2009",Endangered,A2bd,3.1,Decreasing,Global
2365291,19488,Rhincodon typus,ANIMALIA,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,RHINCODONTIDAE,Rhincodon,typus,,,,"Smith, 1828",Endangered,A2bd+4bd,3.1,Decreasing,Global
2467000,196618,Emoia samoensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Emoia,samoensis,,,,"(Duméril, 1851)",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
2903170,39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,oxyrinchus,,,,"Rafinesque, 1810",Endangered,A2bd,3.1,Decreasing,Global
3095898,60225,Isurus paucus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,paucus,,,,"Guitart, 1966",Endangered,A2d,3.1,Decreasing,Global
