assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
510082,12835,Marmota marmota,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Marmota,marmota,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global & Europe
513875,13493,Microtus duodecimcostatus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,duodecimcostatus,,,,"(de Selys-Longchamps, 1839)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
738398,155980,Potamopyrgus antipodarum,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,TATEIDAE,Potamopyrgus,antipodarum,,,,"(J.E. Gray, 1843)",Least Concern,,3.1,Stable,Global
742146,156558,Norelona pyrenaica,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ELONIDAE,Norelona,pyrenaica,,,,"(Draparnaud, 1805)",Least Concern,,3.1,Stable,Global & Europe
785848,173805983,Enallagma cyathigerum,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Enallagma,cyathigerum,,,,"(Charpentier, 1840)",Least Concern,,3.1,Stable,Global
1021826,164064,Phalaris arundinacea,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Phalaris,arundinacea,,,,L.,Least Concern,,3.1,Unknown,Global
1048733,164411,Persicaria lapathifolia,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Persicaria,lapathifolia,,,,(L.) Delarbre,Least Concern,,3.1,Unknown,Global
1220938,168748,Beckmannia syzigachne,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Beckmannia,syzigachne,,,,(Steud.) Fern.,Least Concern,,3.1,Unknown,Global
1318796,170927,Discus rotundatus,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,DISCIDAE,Discus,rotundatus,,,,"(O.F. Müller, 1774)",Least Concern,,3.1,Stable,Global & Europe
1319090,170948,Arion hortensis,ANIMALIA,MOLLUSCA,STYLOMMATOPHORA,GASTROPODA,ARIONIDAE,Arion,hortensis,,,,"A. Férussac, 1819",Least Concern,,3.1,Increasing,Global & Europe
