assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2876505,3854,Carcharias taurus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,ODONTASPIDIDAE,Carcharias,taurus,,,,"Rafinesque, 1810",Critically Endangered,A2bd,3.1,Decreasing,Global
2907336,39352,Galeorhinus galeus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,TRIAKIDAE,Galeorhinus,galeus,,,,"(Linnaeus, 1758)",Critically Endangered,A2bd,3.1,Decreasing,Global
2911619,39374,Carcharhinus longimanus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,longimanus,,,,"(Poey, 1861)",Critically Endangered,A2bd,3.1,Decreasing,Global
2918526,39385,Sphyrna lewini,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,SPHYRNIDAE,Sphyrna,lewini,,,,"(Griffith &amp; Smith, 1834)",Critically Endangered,A2bd,3.1,Decreasing,Global
2920499,39386,Sphyrna mokarran,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,SPHYRNIDAE,Sphyrna,mokarran,,,,"(Rüppell, 1837)",Critically Endangered,A2bd,3.1,Decreasing,Global
3044332,5660,Mecistops cataphractus,ANIMALIA,CHORDATA,CROCODYLIA,REPTILIA,CROCODYLIDAE,Mecistops,cataphractus,,,,"(Cuvier, 1824)",Critically Endangered,A2acde+3cde+4acde,3.1,Decreasing,Global
49318282,161463,Rhinoptera marginata,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,RHINOPTERIDAE,Rhinoptera,marginata,,,,"(Geoffroy Saint-Hilaire, 1817)",Critically Endangered,A2d,3.1,Decreasing,Global
104057239,104050689,Glaucostegus cemiculus,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,GLAUCOSTEGIDAE,Glaucostegus,cemiculus,,,,"(Geoffroy Saint-Hilaire, 1817)",Critically Endangered,A2d,3.1,Decreasing,Global
116782036,61418,Squatina oculata,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,oculata,,,,"Bonaparte, 1840",Critically Endangered,A2bcd+3cd,3.1,Decreasing,Global
123792572,20425,Sousa teuszii,ANIMALIA,CHORDATA,CETARTIODACTYLA,MAMMALIA,DELPHINIDAE,Sousa,teuszii,,,,"(Kükenthal, 1892)",Critically Endangered,A3cd+4cd; C2a(i),3.1,Decreasing,Global
124441812,60127,Aetomylaeus bovinus,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MYLIOBATIDAE,Aetomylaeus,bovinus,,,,"(Geoffroy Saint-Hilaire, 1817)",Critically Endangered,A2d,3.1,Decreasing,Global
124448712,60180,Rhynchobatus luebberti,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINIDAE,Rhynchobatus,luebberti,,,,"Ehrenbaum, 1915",Critically Endangered,A2d,3.1,Decreasing,Global
124461877,63131,Rhinobatos rhinobatos,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINOBATIDAE,Rhinobatos,rhinobatos,,,,"(Linnaeus, 1758)",Critically Endangered,A2bd,3.1,Decreasing,Global
124465045,161320,Rhinobatos albomaculatus,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINOBATIDAE,Rhinobatos,albomaculatus,,,,"Norman, 1930",Critically Endangered,A2d,3.1,Decreasing,Global
124479989,161409,Rhinobatos irvinei,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINOBATIDAE,Rhinobatos,irvinei,,,,"Norman, 1931",Critically Endangered,A2d,3.1,Decreasing,Global
124508353,161569,Myliobatis aquila,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MYLIOBATIDAE,Myliobatis,aquila,,,,"(Linnaeus, 1758)",Critically Endangered,A2bd,3.1,Decreasing,Global
132657527,22728364,Diomedea dabbenena,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,DIOMEDEIDAE,Diomedea,dabbenena,,,,"Mathews, 1929",Critically Endangered,A4ade,3.1,Decreasing,Global
136250858,9404,Gorilla gorilla,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HOMINIDAE,Gorilla,gorilla,,,,"(Savage, 1847)",Critically Endangered,A4bcde,3.1,Decreasing,Global
138015944,138014179,Octolobus grandis,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Octolobus,grandis,,,,Exell,Critically Endangered,B2ab(iii),3.1,Decreasing,Global
141788242,18584848,Pristis pristis,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,PRISTIDAE,Pristis,pristis,,,,"(Linnaeus, 1758)",Critically Endangered,A2cd,3.1,Decreasing,Global
141791261,18175,Pristis pectinata,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,PRISTIDAE,Pristis,pectinata,,,,"Latham, 1794",Critically Endangered,A2cd,3.1,Decreasing,Global
204404464,181007989,Loxodonta cyclotis,ANIMALIA,CHORDATA,PROBOSCIDEA,MAMMALIA,ELEPHANTIDAE,Loxodonta,cyclotis,,,,"Matschie, 1900",Critically Endangered,A2abd,3.1,Decreasing,Global
204461164,22695189,Gyps africanus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Gyps,africanus,,,,"Salvadori, 1865",Critically Endangered,A2abcd+3bcd+4abcd,3.1,Decreasing,Global
204974761,22695185,Necrosyrtes monachus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Necrosyrtes,monachus,,,,"(Temminck, 1823)",Critically Endangered,A3cd+4acd,3.1,Decreasing,Global
205380033,22695250,Trigonoceps occipitalis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Trigonoceps,occipitalis,,,,"(Burchell, 1824)",Critically Endangered,A2abcd+3bcd+4abcd,3.1,Decreasing,Global
6711431,170094,Panulirus regius,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALINURIDAE,Panulirus,regius,,,,"De Brito Capello, 1864",Data Deficient,,3.1,Decreasing,Global
8550712,187493,Bodianus speciosus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LABRIDAE,Bodianus,speciosus,,,,"(Bowdich, 1825)",Data Deficient,,3.1,Decreasing,Global
18397804,89257302,Xenopus fraseri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PIPIDAE,Xenopus,fraseri,,,,"Boulenger, 1905",Data Deficient,,3.1,Decreasing,Global
21911215,21112909,Lophiodes kempi,ANIMALIA,CHORDATA,LOPHIIFORMES,ACTINOPTERYGII,LOPHIIDAE,Lophiodes,kempi,,,,"(Norman, 1935)",Data Deficient,,3.1,Decreasing,Global
49235972,49145114,Argyrosomus coronus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,Argyrosomus,coronus,,,,"Griffiths & Heemstra, 1995",Data Deficient,,3.1,Decreasing,Global
76317892,76317568,Hyperolius chelaensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYPEROLIIDAE,Hyperolius,chelaensis,,,,"Conradie, Branch, Measey & Tolley, 2012",Data Deficient,,3.1,Decreasing,Global
94316261,22712036,Pseudochelidon eurystomina,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,HIRUNDINIDAE,Pseudochelidon,eurystomina,,,,"Hartlaub, 1861",Data Deficient,,3.1,Decreasing,Global
136640954,136640940,Cyperus waillyi,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Cyperus,waillyi,,,,(Cherm.) Lye,Data Deficient,,3.1,Decreasing,Global
166546029,166496571,Vepris gossweileri,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,RUTACEAE,Vepris,gossweileri,,,,(I.Verd.) Mziray,Data Deficient,,3.1,Decreasing,Global
