assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2911619,39374,Carcharhinus longimanus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,longimanus,,,,"(Poey, 1861)",Critically Endangered,A2bd,3.1,Decreasing,Global
2918526,39385,Sphyrna lewini,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,SPHYRNIDAE,Sphyrna,lewini,,,,"(Griffith &amp; Smith, 1834)",Critically Endangered,A2bd,3.1,Decreasing,Global
2920499,39386,Sphyrna mokarran,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,SPHYRNIDAE,Sphyrna,mokarran,,,,"(Rüppell, 1837)",Critically Endangered,A2bd,3.1,Decreasing,Global
16757253,16757145,Rondeletia anguillensis,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Rondeletia,anguillensis,,,,Howard &amp; Kellogg,Critically Endangered,"B1ab(ii,iii,v)",3.1,Decreasing,Global
46909843,7862,Epinephelus striatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Epinephelus,striatus,,,,"(Bloch, 1792)",Critically Endangered,A4bd,3.1,Decreasing,Global
122936983,10800,Iguana delicatissima,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,IGUANIDAE,Iguana,delicatissima,,,,"Laurenti, 1768",Critically Endangered,A3ce,3.1,Decreasing,Global
141791261,18175,Pristis pectinata,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,PRISTIDAE,Pristis,pectinata,,,,"Latham, 1794",Critically Endangered,A2cd,3.1,Decreasing,Global
1784179,185869,Astrapogon stellatus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,APOGONIDAE,Astrapogon,stellatus,,,,"(Cope, 1867)",Data Deficient,,3.1,Decreasing,Global
1944164,190206,Haemulon album,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,HAEMULIDAE,Haemulon,album,,,,"Cuvier, 1830",Data Deficient,,3.1,Decreasing,Global
1944443,190221,Lutjanus jocu,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LUTJANIDAE,Lutjanus,jocu,,,,"(Bloch &amp; Schneider, 1801)",Data Deficient,,3.1,Decreasing,Global
2316114,194341,Ocyurus chrysurus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,LUTJANIDAE,Ocyurus,chrysurus,,,,"(Bloch, 1791)",Data Deficient,,3.1,Decreasing,Global
6697254,169976,Panulirus argus,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALINURIDAE,Panulirus,argus,,,,"(Latreille, 1804)",Data Deficient,,3.1,Decreasing,Global
46914065,39303,Dermatolepis inermis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Dermatolepis,inermis,,,,"(Valenciennes, 1833)",Data Deficient,,3.1,Decreasing,Global
46914961,44682,Mycteroperca tigris,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Mycteroperca,tigris,,,,"(Valenciennes, 1833)",Data Deficient,,3.1,Decreasing,Global
887542,161378,Carcharhinus acronotus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,acronotus,,,,"(Poey, 1860)",Endangered,A2bd,3.1,Decreasing,Global
2365291,19488,Rhincodon typus,ANIMALIA,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,RHINCODONTIDAE,Rhincodon,typus,,,,"Smith, 1828",Endangered,A2bd+4bd,3.1,Decreasing,Global
2874370,3853,Carcharhinus plumbeus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,plumbeus,,,,"(Nardo, 1827)",Endangered,A2bd,3.1,Decreasing,Global
2903170,39341,Isurus oxyrinchus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Isurus,oxyrinchus,,,,"Rafinesque, 1810",Endangered,A2bd,3.1,Decreasing,Global
3090840,60161,Styracura schmardae,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,POTAMOTRYGONIDAE,Styracura,schmardae,,,,"(Werner, 1904)",Endangered,A2d,3.1,Decreasing,Global
3093780,60217,Carcharhinus perezi,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,perezi,,,,"(Poey, 1876)",Endangered,A2bcd,3.1,Decreasing,Global
3094326,60219,Carcharhinus signatus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,signatus,,,,"(Poey, 1868)",Endangered,A2bd,3.1,Decreasing,Global
