CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
Afghanistan,ACTINOPTERYGII,18,0,0,9,29
Afghanistan,AGARICOMYCETES,0,0,0,0,1
Afghanistan,AMPHIBIA,1,1,0,9,1
Afghanistan,AVES,181,73,0,201,52
Afghanistan,BIVALVIA,0,1,0,0,2
Afghanistan,GASTROPODA,0,1,0,3,7
Afghanistan,GNETOPSIDA,1,0,0,7,0
Afghanistan,INSECTA,3,6,1,28,48
Afghanistan,LECANOROMYCETES,0,0,0,0,1
Afghanistan,LILIOPSIDA,6,5,1,90,56
Afghanistan,MAGNOLIOPSIDA,18,4,4,92,97
Afghanistan,MALACOSTRACA,0,0,0,3,1
Afghanistan,MAMMALIA,34,4,0,38,64
Afghanistan,PINOPSIDA,5,3,0,3,2
Afghanistan,POLYPODIOPSIDA,0,1,0,3,0
Afghanistan,REPTILIA,16,2,1,63,34
Algeria,ACTINOPTERYGII,40,4,0,101,237
Algeria,AGARICOMYCETES,3,0,0,1,2
Algeria,AMPHIBIA,3,0,0,7,4
Algeria,ANTHOZOA,2,1,1,2,2
Algeria,AVES,170,75,0,105,38
Algeria,BIVALVIA,5,0,0,1,1
Algeria,CEPHALASPIDOMORPHI,0,0,0,1,0
Algeria,CEPHALOPODA,0,0,0,1,40
Algeria,CHONDRICHTHYES,56,1,0,4,4
Algeria,GASTROPODA,6,3,2,4,35
Algeria,GNETOPSIDA,0,0,0,5,0
Algeria,HOLOTHUROIDEA,0,0,0,0,10
Algeria,INSECTA,39,10,10,46,136
Algeria,LILIOPSIDA,26,4,0,118,74
Algeria,LYCOPODIOPSIDA,0,0,0,1,0
Algeria,MAGNOLIOPSIDA,33,4,0,162,109
Algeria,MALACOSTRACA,1,0,0,5,5
Algeria,MAMMALIA,30,3,1,40,43
Algeria,MYXINI,0,0,0,0,1
Algeria,PINOPSIDA,5,2,0,3,0
Algeria,POLYPODIOPSIDA,3,2,0,3,4
Algeria,REPTILIA,24,1,2,56,16
AmericanSamoa,ACTINOPTERYGII,33,1,0,224,729
AmericanSamoa,ANTHOZOA,148,1,0,3,127
AmericanSamoa,ARACHNIDA,0,0,0,1,0
AmericanSamoa,AVES,40,3,0,15,9
AmericanSamoa,BIVALVIA,0,0,4,0,2
AmericanSamoa,CEPHALOPODA,0,0,0,0,11
AmericanSamoa,CHONDRICHTHYES,22,1,0,0,1
AmericanSamoa,GASTROPODA,2,0,6,8,69
AmericanSamoa,HOLOTHUROIDEA,7,0,1,4,28
AmericanSamoa,HYDROZOA,1,0,0,3,3
AmericanSamoa,INSECTA,1,0,0,9,4
AmericanSamoa,LILIOPSIDA,0,1,0,5,5
AmericanSamoa,MAGNOLIOPSIDA,10,1,3,63,25
AmericanSamoa,MALACOSTRACA,1,0,0,0,1
