CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
Afghanistan,ACTINOPTERYGII,18,0,0,9,29
Afghanistan,AGARICOMYCETES,0,0,0,0,1
Afghanistan,AMPHIBIA,1,1,0,9,1
Afghanistan,AVES,181,73,0,201,52
Afghanistan,BIVALVIA,0,1,0,0,2
Afghanistan,GASTROPODA,0,1,0,3,7
Afghanistan,GNETOPSIDA,1,0,0,7,0
Afghanistan,INSECTA,3,6,1,28,48
Afghanistan,LECANOROMYCETES,0,0,0,0,1
Afghanistan,LILIOPSIDA,6,5,1,90,56
Afghanistan,MAGNOLIOPSIDA,18,4,4,92,97
Afghanistan,MALACOSTRACA,0,0,0,3,1
Afghanistan,MAMMALIA,34,4,0,38,64
Afghanistan,PINOPSIDA,5,3,0,3,2
Afghanistan,POLYPODIOPSIDA,0,1,0,3,0
Afghanistan,REPTILIA,16,2,1,63,34
