CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
Algeria,ACTINOPTERYGII,40,4,0,101,237
Algeria,AGARICOMYCETES,3,0,0,1,2
Algeria,AMPHIBIA,3,0,0,7,4
Algeria,ANTHOZOA,2,1,1,2,2
Algeria,AVES,170,75,0,105,38
Algeria,BIVALVIA,5,0,0,1,1
Algeria,CEPHALASPIDOMORPHI,0,0,0,1,0
Algeria,CEPHALOPODA,0,0,0,1,40
Algeria,CHONDRICHTHYES,56,1,0,4,4
Algeria,GASTROPODA,6,3,2,4,35
Algeria,GNETOPSIDA,0,0,0,5,0
Algeria,HOLOTHUROIDEA,0,0,0,0,10
Algeria,INSECTA,39,10,10,46,136
Algeria,LILIOPSIDA,26,4,0,118,74
Algeria,LYCOPODIOPSIDA,0,0,0,1,0
Algeria,MAGNOLIOPSIDA,33,4,0,162,109
Algeria,MALACOSTRACA,1,0,0,5,5
Algeria,MAMMALIA,30,3,1,40,43
Algeria,MYXINI,0,0,0,0,1
Algeria,PINOPSIDA,5,2,0,3,0
Algeria,POLYPODIOPSIDA,3,2,0,3,4
Algeria,REPTILIA,24,1,2,56,16
