CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
AmericanSamoa,ACTINOPTERYGII,33,1,0,224,729
AmericanSamoa,ANTHOZOA,148,1,0,3,127
AmericanSamoa,ARACHNIDA,0,0,0,1,0
AmericanSamoa,AVES,40,3,0,15,9
AmericanSamoa,BIVALVIA,0,0,4,0,2
AmericanSamoa,CEPHALOPODA,0,0,0,0,11
AmericanSamoa,CHONDRICHTHYES,22,1,0,0,1
AmericanSamoa,GASTROPODA,2,0,6,8,69
AmericanSamoa,HOLOTHUROIDEA,7,0,1,4,28
AmericanSamoa,HYDROZOA,1,0,0,3,3
AmericanSamoa,INSECTA,1,0,0,9,4
AmericanSamoa,LILIOPSIDA,0,1,0,5,5
AmericanSamoa,MAGNOLIOPSIDA,10,1,3,63,25
AmericanSamoa,MALACOSTRACA,1,0,0,0,1
AmericanSamoa,MAMMALIA,3,1,0,1,17
AmericanSamoa,POLYCHAETA,0,0,1,0,0
AmericanSamoa,POLYPODIOPSIDA,0,0,0,6,0
AmericanSamoa,REPTILIA,7,1,0,11,2
