CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
Andorra,ACTINOPTERYGII,0,0,0,0,20
Andorra,AGARICOMYCETES,0,0,0,22,0
Andorra,AMPHIBIA,2,0,0,2,0
Andorra,ANDREAEOPSIDA,1,0,0,0,1
Andorra,AVES,65,31,0,34,2
Andorra,BIVALVIA,1,1,0,0,4
Andorra,BRYOPSIDA,0,0,0,1,1
Andorra,CEPHALASPIDOMORPHI,0,0,0,0,1
Andorra,GASTROPODA,3,4,1,41,23
Andorra,INSECTA,24,6,0,31,35
Andorra,JUNGERMANNIOPSIDA,0,0,0,1,0
Andorra,LECANOROMYCETES,0,1,0,3,0
Andorra,LILIOPSIDA,0,0,0,9,13
Andorra,LYCOPODIOPSIDA,0,0,0,0,1
Andorra,MAGNOLIOPSIDA,8,1,0,51,35
Andorra,MALACOSTRACA,1,0,0,0,0
Andorra,MAMMALIA,14,3,0,24,10
Andorra,PINOPSIDA,0,2,0,5,0
Andorra,POLYPODIOPSIDA,0,0,0,3,2
Andorra,REPTILIA,2,0,0,4,0
