CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
Angola,ACTINOPTERYGII,37,3,0,117,893
Angola,AMPHIBIA,19,4,0,16,101
Angola,ARACHNIDA,1,0,0,2,0
Angola,AVES,307,74,0,519,55
Angola,BIVALVIA,1,0,0,1,21
Angola,CEPHALOPODA,1,0,0,0,35
Angola,CHONDRICHTHYES,70,1,0,17,5
Angola,CYCADOPSIDA,0,0,0,2,0
Angola,GASTROPODA,0,2,1,9,52
Angola,GNETOPSIDA,1,0,0,0,0
Angola,HOLOTHUROIDEA,0,0,1,0,5
Angola,INSECTA,4,4,1,16,535
Angola,LILIOPSIDA,13,7,0,205,154
Angola,LYCOPODIOPSIDA,0,0,0,2,3
Angola,MAGNOLIOPSIDA,94,0,16,776,329
Angola,MALACOSTRACA,1,0,0,7,15
Angola,MAMMALIA,58,9,0,101,164
Angola,MYXINI,0,0,0,0,1
Angola,PINOPSIDA,0,0,0,1,0
Angola,POLYPODIOPSIDA,1,1,0,23,10
Angola,REPTILIA,15,1,3,176,68
Angola,SARCOPTERYGII,0,0,0,0,1
