CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
Anguilla,ACTINOPTERYGII,46,1,0,135,870
Anguilla,AMPHIBIA,0,2,0,0,0
Anguilla,ANTHOZOA,5,1,0,33,14
Anguilla,ARACHNIDA,0,0,0,1,0
Anguilla,AVES,64,39,0,35,14
Anguilla,BIVALVIA,0,0,0,0,1
Anguilla,CEPHALOPODA,0,0,0,0,16
Anguilla,CHONDRICHTHYES,37,1,0,11,1
Anguilla,GASTROPODA,0,0,0,2,9
Anguilla,HOLOTHUROIDEA,0,0,0,1,19
Anguilla,HYDROZOA,0,0,0,2,0
Anguilla,INSECTA,0,0,0,1,0
Anguilla,LECANOROMYCETES,0,0,0,1,0
Anguilla,LILIOPSIDA,0,1,0,41,5
Anguilla,MAGNOLIOPSIDA,13,0,0,87,22
Anguilla,MALACOSTRACA,1,0,0,3,18
Anguilla,MAMMALIA,1,1,0,2,26
Anguilla,POLYPODIOPSIDA,0,0,0,5,1
Anguilla,REPTILIA,6,2,1,3,7
