CountryName,className,Not_Evaluated,Data_Deficient,Least_Concern,Near_Threatened,Vulnerable,Endangered,Critically_Endangered,Extinct_in_the_Wild,Extinct
Afghanistan,ACTINOPTERYGII,0,5,36,1,10,3,1,0,0
Afghanistan,AGARICOMYCETES,0,0,1,0,0,0,0,0,0
Afghanistan,AMPHIBIA,0,1,10,0,0,0,1,0,0
Afghanistan,AVES,0,0,459,21,17,6,4,0,0
Afghanistan,BIVALVIA,0,1,2,0,0,0,0,0,0
Afghanistan,GASTROPODA,0,2,9,0,0,0,0,0,0
Afghanistan,GNETOPSIDA,0,0,7,0,1,0,0,0,0
Afghanistan,INSECTA,0,9,74,1,2,0,0,0,0
Afghanistan,LECANOROMYCETES,0,0,1,0,0,0,0,0,0
Afghanistan,LILIOPSIDA,0,3,150,2,1,1,1,0,0
Afghanistan,MAGNOLIOPSIDA,0,13,194,2,1,3,2,0,0
Afghanistan,MALACOSTRACA,0,1,3,0,0,0,0,0,0
Afghanistan,MAMMALIA,0,6,111,11,9,3,0,0,0
Afghanistan,PINOPSIDA,0,0,10,2,0,1,0,0,0
Afghanistan,POLYPODIOPSIDA,0,0,4,0,0,0,0,0,0
Afghanistan,REPTILIA,0,4,105,3,3,1,0,0,0
