CountryName,className,Not_Evaluated,Data_Deficient,Least_Concern,Near_Threatened,Vulnerable,Endangered,Critically_Endangered,Extinct_in_the_Wild,Extinct
AmericanSamoa,ACTINOPTERYGII,0,25,949,2,10,1,0,0,0
AmericanSamoa,ANTHOZOA,0,12,147,69,50,1,0,0,0
AmericanSamoa,ARACHNIDA,0,0,1,0,0,0,0,0,0
AmericanSamoa,AVES,0,0,51,5,8,1,2,0,0
AmericanSamoa,BIVALVIA,0,1,1,0,1,0,0,0,0
AmericanSamoa,CEPHALOPODA,0,0,11,0,0,0,0,0,0
AmericanSamoa,CHONDRICHTHYES,0,0,2,2,8,11,1,0,0
AmericanSamoa,GASTROPODA,0,4,75,0,0,4,1,0,1
AmericanSamoa,HOLOTHUROIDEA,0,13,20,0,5,2,0,0,0
AmericanSamoa,HYDROZOA,0,0,5,1,1,0,0,0,0
AmericanSamoa,INSECTA,0,2,11,0,0,1,0,0,0
AmericanSamoa,LILIOPSIDA,0,1,9,1,0,0,0,0,0
AmericanSamoa,MAGNOLIOPSIDA,0,2,93,2,1,1,0,0,0
AmericanSamoa,MALACOSTRACA,0,0,1,0,1,0,0,0,0
AmericanSamoa,MAMMALIA,0,2,16,2,1,1,0,0,0
AmericanSamoa,POLYCHAETA,0,1,0,0,0,0,0,0,0
AmericanSamoa,POLYPODIOPSIDA,0,0,6,0,0,0,0,0,0
AmericanSamoa,REPTILIA,0,0,15,0,1,4,1,0,0
