CountryName,className,Not_Evaluated,Data_Deficient,Least_Concern,Near_Threatened,Vulnerable,Endangered,Critically_Endangered,Extinct_in_the_Wild,Extinct
Andorra,ACTINOPTERYGII,0,0,20,0,0,0,0,0,0
Andorra,AGARICOMYCETES,0,0,22,0,0,0,0,0,0
Andorra,AMPHIBIA,0,0,4,0,0,0,0,0,0
Andorra,ANDREAEOPSIDA,0,1,0,0,1,0,0,0,0
Andorra,AVES,0,0,122,6,3,1,0,0,0
Andorra,BIVALVIA,0,1,4,0,1,0,0,0,0
Andorra,BRYOPSIDA,0,1,1,0,0,0,0,0,0
Andorra,CEPHALASPIDOMORPHI,0,0,1,0,0,0,0,0,0
Andorra,GASTROPODA,0,3,64,3,2,0,0,0,0
Andorra,INSECTA,0,4,79,9,3,1,0,0,0
Andorra,JUNGERMANNIOPSIDA,0,0,1,0,0,0,0,0,0
Andorra,LECANOROMYCETES,0,0,4,0,0,0,0,0,0
Andorra,LILIOPSIDA,0,0,22,0,0,0,0,0,0
Andorra,LYCOPODIOPSIDA,0,0,1,0,0,0,0,0,0
Andorra,MAGNOLIOPSIDA,0,5,90,0,0,0,0,0,0
Andorra,MALACOSTRACA,0,0,0,0,1,0,0,0,0
Andorra,MAMMALIA,0,0,42,6,2,1,0,0,0
Andorra,PINOPSIDA,0,0,7,0,0,0,0,0,0
Andorra,POLYPODIOPSIDA,0,0,4,1,0,0,0,0,0
Andorra,REPTILIA,0,0,5,0,0,1,0,0,0
