CountryName,className,Not_Evaluated,Data_Deficient,Least_Concern,Near_Threatened,Vulnerable,Endangered,Critically_Endangered,Extinct_in_the_Wild,Extinct
Angola,ACTINOPTERYGII,0,113,897,12,25,3,0,0,0
Angola,AMPHIBIA,0,22,118,0,0,0,0,0,0
Angola,ARACHNIDA,0,0,3,0,0,0,0,0,0
Angola,AVES,0,3,896,18,11,23,4,0,0
Angola,BIVALVIA,0,2,19,0,0,2,0,0,0
Angola,CEPHALOPODA,0,13,21,0,2,0,0,0,0
Angola,CHONDRICHTHYES,0,2,21,15,19,20,16,0,0
Angola,CYCADOPSIDA,0,0,1,1,0,0,0,0,0
Angola,GASTROPODA,0,3,55,3,3,0,0,0,0
Angola,GNETOPSIDA,0,0,0,1,0,0,0,0,0
Angola,HOLOTHUROIDEA,0,3,3,0,0,0,0,0,0
Angola,INSECTA,0,24,526,6,4,0,0,0,0
Angola,LILIOPSIDA,0,22,350,4,1,1,1,0,0
Angola,LYCOPODIOPSIDA,0,0,5,0,0,0,0,0,0
Angola,MAGNOLIOPSIDA,0,60,1052,29,49,18,3,0,0
Angola,MALACOSTRACA,0,9,14,0,0,0,0,0,0
Angola,MAMMALIA,0,20,264,22,16,6,4,0,0
Angola,MYXINI,0,0,1,0,0,0,0,0,0
Angola,PINOPSIDA,0,0,1,0,0,0,0,0,0
Angola,POLYPODIOPSIDA,0,0,35,0,0,0,0,0,0
Angola,REPTILIA,0,10,240,1,9,1,1,0,0
Angola,SARCOPTERYGII,0,0,1,0,0,0,0,0,0
