CountryName,className,Not_Evaluated,Data_Deficient,Least_Concern,Near_Threatened,Vulnerable,Endangered,Critically_Endangered,Extinct_in_the_Wild,Extinct
Anguilla,ACTINOPTERYGII,0,51,969,8,22,1,1,0,0
Anguilla,AMPHIBIA,0,0,2,0,0,0,0,0,0
Anguilla,ANTHOZOA,0,4,39,0,6,2,2,0,0
Anguilla,ARACHNIDA,0,0,1,0,0,0,0,0,0
Anguilla,AVES,0,0,140,9,2,1,0,0,0
Anguilla,BIVALVIA,0,0,1,0,0,0,0,0,0
Anguilla,CEPHALOPODA,0,5,11,0,0,0,0,0,0
Anguilla,CHONDRICHTHYES,0,0,15,5,10,16,4,0,0
Anguilla,GASTROPODA,0,0,11,0,0,0,0,0,0
Anguilla,HOLOTHUROIDEA,0,3,17,0,0,0,0,0,0
Anguilla,HYDROZOA,0,0,2,0,0,0,0,0,0
Anguilla,INSECTA,0,0,1,0,0,0,0,0,0
Anguilla,LECANOROMYCETES,0,0,1,0,0,0,0,0,0
Anguilla,LILIOPSIDA,0,0,47,0,0,0,0,0,0
Anguilla,MAGNOLIOPSIDA,0,1,116,2,1,1,1,0,0
Anguilla,MALACOSTRACA,0,4,18,0,0,0,0,0,0
Anguilla,MAMMALIA,0,1,26,1,2,0,0,0,0
Anguilla,POLYPODIOPSIDA,0,0,6,0,0,0,0,0,0
Anguilla,REPTILIA,0,0,9,1,2,4,2,0,1
